Date,Open,High,Low,Close,Volume,Market Cap
Dec-06-2022,14.278569088698175,14.2999,13.482600928154481,13.521903007444063,502937838.5555556,4991744277.9471855
Dec-05-2022,13.825339672831639,14.3049,13.824483469602717,14.278319552028949,609555130,5097536189.321031
Dec-04-2022,13.70416203832296,14.124437895604087,13.6273,13.82475525613235,490911206.7777778,5046569267.149811
Dec-03-2022,13.291854503558536,13.731968912935361,13.291854503558536,13.731968912935361,284960112.9444444,4892373838.821987
Dec-02-2022,13.7107,13.7329,13.254123631821308,13.298391708273384,428410325.74216026,4912657507.122022
Dec-01-2022,13.488467812030416,13.769860603300613,13.3298,13.7066,502467632.72473866,4920144175.403079
Nov-30-2022,14.14808116552642,14.14808116552642,13.4118,13.4547,647909739.6666666,4987064560.89942
Nov-29-2022,13.3371,14.228737281783703,13.2984,14.107555630698657,648673404.2222222,4956002503.999711
Nov-28-2022,13.3185,13.884495437912815,13.175399730782848,13.3534,793434388,4902176580.621193
Nov-27-2022,14.10264109655163,14.1292,12.8399,13.319215158840343,916253919.5555556,4841750456.20008
Nov-26-2022,14.14345898452269,14.411,14.059887089722736,14.059887089722736,563367783.804878,5180217522.061597
Nov-25-2022,14.0102,14.852703076733032,13.980921927542349,14.152093639287633,697057637.5555556,5211673136.593318
Nov-24-2022,14.5734,14.5734,13.941650987085556,14.036235452341742,1001945205.1111112,5122118431.702048
Nov-23-2022,14.3447,14.8531,13.89571532112646,14.5477,1648832721.7777777,5196543948.453804
Nov-22-2022,12.4233,14.3841,12.413,14.3534,1401583648.8888888,4792810669.25055
Nov-21-2022,11.819764799694877,12.4546,11.0038,12.4052,992945332.8888888,4225485063.599116
Nov-20-2022,12.2383,12.2427,11.3171,11.823737161023004,980168077.5555556,4273082197.71024
Nov-19-2022,12.822088812857059,13.3602,12.1893,12.2431,724094435.3333334,4628415935.296374
Nov-18-2022,13.250301208028166,13.250301208028166,12.6247,12.825715377810685,706011873.2264808,4652227543.882533
Nov-17-2022,13.619667581366114,13.773566996566338,12.9883,13.23221394711071,1250723382.4111497,4874173288.134492
Nov-16-2022,14.282724879566366,14.453479121199974,12.982,13.572851133201313,1134591556.4444444,5032880680.17048
Nov-15-2022,14.3055,14.5469,13.734357798438694,14.29177651559524,1204693123.7777777,5138707849.104793
Nov-14-2022,13.985196419814258,14.9881,13.8371,14.3039,1990250729.3333333,5101837910.762733
Nov-13-2022,13.128849439277111,14.889625252982462,12.168058535036817,13.994018948779681,2218869757.7777777,4854379340.673435
Nov-12-2022,14.528,14.6397,13.061759749541281,13.061759749541281,1440565282.6666667,4948421555.23526
Nov-11-2022,16.3933,16.3933,14.4902,14.5359,2752145504.888889,5423910354.518294
Nov-10-2022,17.625,18.1151726431415,15.173435859241888,16.3573,6240026188.444445,5944971086.374039
Nov-09-2022,12.460228773945609,18.5988,11.797281722018768,17.62109853780554,12150940512,5415315116.797158
Nov-08-2022,23.98476952020121,23.98476952020121,10.5657,12.310597841248853,10786062810.666666,6066989863.20012
Nov-07-2022,29.5666,30.888430326580874,20.5174,23.91694753695352,8054860263.111111,9559308192.695124
Nov-06-2022,32.7308,33.0442,28.7224,29.5717,3663771934.2222223,11295519127.898233
Nov-05-2022,36.819,36.8343,32.47381176169403,32.7563,3798388664,12552525007.37888
Nov-04-2022,33.7413,38.5163,33.719,36.7204,3057145529.7777777,12634485324.737392
Nov-03-2022,30.86883730468892,34.0962,30.755589910675756,33.8061,1702566743.1111112,11564189524.015205
Nov-02-2022,30.80853845510214,32.1569335404362,30.664390606936752,30.84111778612757,2069074657.3333333,11150345026.588781
Nov-01-2022,32.221,32.744,30.344611697219143,30.784269493562363,1335677626,11202512678.168694
Oct-31-2022,32.58224886616535,33.3202,32.1933,32.2372,1612432320.8888888,11593025769.545332
Oct-30-2022,32.924,34.2938,32.2767,32.64604874023861,1716437413.3333333,11735459910.852947
Oct-29-2022,32.87254378833795,33.4968,32.08480251114263,32.9035,1537138161.3333333,11594610759.483835
Oct-28-2022,32.0572219367718,33.77339549060762,31.8903,32.883169357941796,2059778680,11682783631.021513
Oct-27-2022,30.5965776122075,32.434,30.1554,32.1405,1888083673.7777777,11033300009.994762
Oct-26-2022,31.291529056886677,32.1343989478534,30.5445,30.645686123573057,2155111350.2222223,11142316126.828033
Oct-25-2022,30.894275424368715,31.939309291218724,30.733,31.23481765259755,2870722607.111111,11092671005.192186
Oct-24-2022,28.3009,32.1992,28.1019,30.985197302748222,1490082618.8888888,10417965697.256351
Oct-23-2022,29.2858,29.4234,28.189159391276686,28.2894,1322183551.5555556,10163307409.135368
Oct-22-2022,28.0104,29.33504153537513,27.8827,29.2345,860159148.1533101,10072105148.463766
Oct-21-2022,28.105,28.147518833622136,27.5061,28.013835280418693,1283424148,9894778079.511753
Oct-20-2022,28.0319,28.2622,26.9811,28.1069,1597182644,9881711041.19746
Oct-19-2022,28.8651,29.4385,28.027746106312787,28.0731,1299903204,10258433416.532019
Oct-18-2022,30.153,30.2134,28.833,28.8831,1169716138.2222223,10588926218.773012
Oct-17-2022,31.1942,31.4261,29.8373,30.2162,1222280012.4444444,10885618380.954563
Oct-16-2022,30.139336792730077,31.2349,29.866157450498203,31.233,1103368774.8888888,10837934485.45151
Oct-15-2022,29.5903,30.47689133167563,29.5903,30.15398525277829,807312656.7247387,10622842979.382605
Oct-14-2022,29.9987,30.183615823998128,29.531,29.5408,1133054559.7777777,10617079588.62257
Oct-13-2022,30.505585904914135,31.9299,29.6806,30.0342,2041850579.5555556,11000574164.644772
Oct-12-2022,31.171275587033513,31.194109718411408,28.2927,30.53490026414561,1532903325.2125435,10674803578.51588
Oct-11-2022,30.8029,31.476,30.7461,31.162745862315234,1091789671.0243902,11059072121.606407
Oct-10-2022,31.93264798849464,31.93264798849464,30.5409,30.7789,1212843797.7777777,11156850739.019125
Oct-09-2022,32.9113,33.292,31.938852246191225,31.938852246191225,977816854.5226481,11604750753.201637
Oct-08-2022,32.5718,33.11441769421442,32.4608,32.8973,686341699.3333334,11637732458.334007
Oct-07-2022,33.000062163082326,33.040327310044304,32.4397,32.5799,915849512.5853659,11654068669.121439
Oct-06-2022,33.3463,33.738,32.558155439523006,32.99119287336657,1254554829.1567943,11782604612.066637
Oct-05-2022,34.0326,34.4371,33.316709911452804,33.33376112330904,1380912268.8888888,12054030683.389706
Oct-04-2022,34.0908,34.3265,33.24518192899172,34.0879,1394019214.6666667,12012771811.035645
Oct-03-2022,32.8764,34.348,32.8593,34.1096,1407875964.8888888,11939760088.095797
Oct-02-2022,32.07305100077248,33.215001731155255,31.92573664091574,32.9515,1204898499.1111112,11563226598.213568
Oct-01-2022,32.442,33.0005,31.952283768653547,32.02935898109849,1010847430.6666666,11576566628.900291
Sep-30-2022,33.24238093655864,33.24238093655864,32.4288,32.4288,1840806430.540351,11665075059.082226
Sep-29-2022,33.915532122300284,35.0986,32.712864094746074,33.22395618234488,2183611530.2222223,12080891828.984587
Sep-28-2022,33.220034845947836,34.3195,32.7422,33.927080937570366,1991830045.7777777,11935535101.419573
Sep-27-2022,32.741164071009514,33.7381,31.73407446801401,33.20155555968333,2261269994.1463413,11614479594.888762
Sep-26-2022,33.8708,35.2141,32.141836402136335,32.70232044512651,2241921561.3333335,12078162586.671457
Sep-25-2022,32.3389,33.92464569302728,31.9219,33.9074,1691057249.672474,11661598684.217056
Sep-24-2022,33.425,33.990944954025444,32.03380718561255,32.3916,1513974521.7777777,11810124447.551971
Sep-23-2022,33.65920340763197,34.719515314631884,33.2406,33.49119652329897,2103695662.6666667,12000926708.796381
Sep-22-2022,32.403093818750605,33.883652718845866,31.3208,33.585704534024536,1762056510.2222223,11469778957.543867
Sep-21-2022,30.77579534999782,32.73685345906536,30.6267266197207,32.43028583385446,2335057275.5555553,11270202979.705326
Sep-20-2022,31.4097,33.11432756667849,30.159478420499365,30.79550746744583,1635236008.8888888,11213902407.845173
Sep-19-2022,32.65918927504976,32.876805284647226,31.3726,31.3994,1789883201.533101,11362675859.092398
Sep-18-2022,31.120750911376813,32.993525992111614,30.735871908998988,32.737933401623515,1809406162.6666667,11235623869.22461
Sep-17-2022,33.71624964706845,33.9407,30.9354,31.029450150345017,1225840320.4444444,11681978018.348358
Sep-16-2022,32.25306218550157,33.8528,32.25306218550157,33.72137855065125,1388461455.1111112,11676428198.062166
Sep-15-2022,33.0771,33.2131,31.6358,32.20139934319253,1930131666.2222223,11520343080.300354
Sep-14-2022,34.12062930460117,34.6567,32.7238,33.0161,2253093536,11867652874.991432
Sep-13-2022,33.009659891691264,34.3259,32.80859546807216,34.17206185966684,2680254423.111111,11848795472.031729
Sep-12-2022,37.41531050451658,38.74750963603454,33.02921776600165,33.03749567060985,2339520539.205575,12869705754.374739
Sep-11-2022,34.99561871260337,38.09813776533851,34.48704032605001,37.45827769774006,1485571337.3658535,12921154645.393896
Sep-10-2022,35.0438,35.8999352918438,34.1453,34.95348029688083,871121402.8888888,12343658454.915594
Sep-09-2022,34.680891085270574,35.3555,34.3206,35.0931,1093367970,12272635395.393484
Sep-08-2022,33.5708,35.727002318741235,33.5708,34.70785475076585,1340382507.1111112,12310930086.015856
Sep-07-2022,32.687338030096534,33.697058741234216,32.091798175409046,33.566,1028511058.4444444,11614189187.371162
Sep-06-2022,30.89600360053446,32.86600673624568,30.537752043882023,32.72912032387765,1016467710.8888888,11052094403.883629
Sep-05-2022,32.14939181232547,33.7851,30.627,30.886513408123527,891567522,11356461514.855028
Sep-04-2022,32.11152603117863,32.42476087594635,31.19417390500841,32.213875676643255,491493201.1111111,11129472324.823605
Sep-03-2022,31.12339966753638,32.1423,31.0708,32.08576544069958,339002218.7777778,11050621425.890509
Sep-02-2022,31.2505,31.2569,30.8509,31.096943307612097,518864340,10878515255.967386
Sep-01-2022,31.60787613470251,32.3127,30.86519659291501,31.1857,646946770.7317073,11025977920.215801
Aug-31-2022,31.505,31.7211,30.5486,31.6136,799735150.4444444,10920604455.972847
Aug-30-2022,31.4255,32.8567,31.2382,31.4908,1023555056.2222222,11251890976.54536
Aug-29-2022,32.42657862254589,33.0177,30.794,31.3704,973793756.7665505,11206852621.30095
Aug-28-2022,30.3665,32.508751169917026,30.1713,32.40349930263122,792645808.6132404,10872016382.135075
Aug-27-2022,31.603,32.05690739881464,30.5454,30.5454,671293747.7777778,11049111445.772333
Aug-26-2022,31.818542618200716,32.2175,31.03236722110497,31.6744,1178738696.8888888,11088307318.766277
Aug-25-2022,35.31105482050063,35.552709378255024,31.56614751537035,31.741308033175965,1147263165.3333333,11911724850.78542
Aug-24-2022,34.93132648073772,36.43665340689721,34.93132648073772,35.28283141036511,1061684127.7777778,12484843269.762001
Aug-23-2022,35.656613988689614,36.2647,34.44567760053902,34.980224153491115,1104366021.7777777,12340165593.05973
Aug-22-2022,35.4171,36.03289959065435,34.366019434320364,35.64692779845284,1247375637.7777777,12344560257.414038
Aug-21-2022,36.48580049404637,36.48580049404637,34.07636058365541,35.4605,1280663278.8888888,12248883707.050419
Aug-20-2022,35.33952040809544,36.95295722910729,34.67750619365116,36.49946940824167,1253833893.5555556,12514848329.554235
Aug-19-2022,36.0420673360579,37.25553446104439,34.55977027470643,35.32919322051271,1582520150.522648,12668014323.790949
Aug-18-2022,39.5589,39.5589,35.83710773223968,36.04821841986742,1621381588.2222223,12968197225.224323
Aug-17-2022,40.56839927940109,41.6154,39.6206,39.6206,1289566904.4444444,14273110490.172457
Aug-16-2022,43.188366724664775,44.59001234701775,40.34204433908984,40.41470763364871,1178611885.2682927,14799275433.51358
Aug-15-2022,43.8072,44.20420700086724,42.8542,43.23368773319803,1223350085.3333333,15146710669.409996
Aug-14-2022,44.90836017611206,47.0598,43.1031,43.9209,1292611672.2222223,15570951300.833845
Aug-13-2022,46.48154042180981,47.9543,44.68149614180249,44.986668094103166,1089358631.7777777,16128264645.420017
Aug-12-2022,45.3739,48.12757861666292,45.2851,46.50245621118941,1526029132.4444444,16330016241.020931
Aug-11-2022,42.7371,45.3072,42.23473161822447,45.3072,1194072272,15124449132.854973
Aug-10-2022,42.41529391188455,44.9769304615113,42.31664538809733,42.764,1557733151.5555556,15231572569.22042
Aug-09-2022,40.32418095878907,42.38375840936882,39.2706,42.29522632457363,1738866675.5555556,14209770010.733717
Aug-08-2022,42.1912,42.7214,39.9045,40.37807212482277,1848850253.9444444,14373304188.71624
Aug-07-2022,40.60752402210253,43.58766169846242,40.6071742271388,42.0826,1681408140.8888888,14712435234.236053
Aug-06-2022,40.0166,41.488505864692094,39.3252,40.58785697784412,1208998636,13963100922.750204
Aug-05-2022,40.56903040178722,40.80908583627763,40.0114397368735,40.0892,1660406835.1111112,14015941492.03323
Aug-04-2022,38.81659206577082,41.13860019211878,38.81659206577082,40.46660934187903,2151997452,13862202329.868572
Aug-03-2022,38.570159978002586,39.7413,38.146,38.87836909548673,2832282653.3333335,13486487950.523054
Aug-02-2022,39.8857093548889,40.7224,37.80758086813928,38.5599,3700559458.118467,13666996523.579613
Aug-01-2022,41.76113333083871,42.34549714744595,39.90857787700757,39.90857787700757,2016055241.3333333,14163702861.228132
Jul-31-2022,42.4029,43.1361,40.74277324166437,41.76791479103393,1893128913.3333333,14619980709.639364
Jul-30-2022,43.8371936581511,44.99648912576931,42.3451,42.3451,2486336708.4444447,15158455800.54226
Jul-29-2022,41.9843,46.495039449688505,41.63130127912017,43.77604479206451,2795340715.5555553,15050887365.163813
Jul-28-2022,42.89635573709827,44.087201922758496,41.3209,41.9831,3387718956.4444447,14747792743.084223
Jul-27-2022,40.20475958000022,43.83251693674188,39.04246557535513,42.77052071056569,3453133745.7777777,14099947985.750328
Jul-26-2022,36.3291690536598,40.29155073234646,35.727909605985026,40.24524509480408,2382023744.6689897,12891382743.64906
Jul-25-2022,36.6963,36.7608,34.8608,36.17535933825516,2518836706.56446,12373852076.995705
Jul-24-2022,40.97958486238432,41.0596235747372,36.7758,36.7758,2302744224.4444447,13364505500.794853
Jul-23-2022,40.02416908865877,42.0046155452525,39.5731091212864,41.00317636831571,2160210840.083624,14066651393.326832
Jul-22-2022,40.5704,41.8189,38.72137405676693,40.10896746156165,2377864384,13991666486.774874
Jul-21-2022,43.1789,44.108666617923554,40.17081293207181,40.6372,2877308915.512195,14671030602.80067
Jul-20-2022,42.0905,43.95210609498832,39.89254884866201,43.2478,3547235697.7777777,14482965509.963825
Jul-19-2022,44.9153,45.9621,41.7697,42.1001,3477874826.2578397,15375456814.110048
Jul-18-2022,43.73179633140544,47.05478847479423,42.7239,44.9126,4069303727.111111,15514855815.130898
Jul-17-2022,38.577976946147615,43.554985198935945,38.577976946147615,43.554985198935945,2548846090.5555553,14202824232.376627
Jul-16-2022,39.55755707194408,40.89906699658072,38.5346,38.562239166093335,2457658035.5555553,13656853106.446314
Jul-15-2022,37.351715118092166,40.2965,36.3874,39.56675581433718,2151947805.7777777,13059927891.551134
Jul-14-2022,37.0577,38.8229,36.6019,37.35117637610097,2563383567.163763,12982665369.873583
Jul-13-2022,34.8744,37.1319,33.6517,37.1234,2581238880,12082725349.031301
Jul-12-2022,32.6974,34.8677,31.971991348306467,34.8203,2189244404,11543834338.121681
Jul-11-2022,33.45911400479536,34.46466416100596,32.71563240381679,32.71563240381679,1932874425.3333333,11635661736.716475
Jul-10-2022,36.68476315555224,36.68476315555224,33.36103876552682,33.52291855476917,1639440256,12176851743.078266
Jul-09-2022,38.03769618711708,38.03769618711708,36.352,36.67260878955919,1418307915.5555556,12814058414.06941
Jul-08-2022,38.08000430415244,38.7701,37.85910893205994,38.03333701707209,2299869359.5555553,13236606470.171204
